,movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,world_wide_box_office
1837,The Foreigner,2017,289340100,35000000,34393507,106389853,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0.0,116.0,140783360
1838,A Star is Born,2017,274860100,36000000,213623201,214277812,R,Contemporary Fiction,Remake,Live Action,Drama,0.0,140.0,427901013
1839,Game Night,2017,282230100,37000000,69179066,48199018,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,93.0,117378084
1840,The Upside,2017,294570100,37500000,103386274,10800000,PG-13,Dramatization,Based on Movie,Live Action,Comedy,0.0,126.0,114186274
1841,The Sisters Brothers,2017,239530100,38000000,3143056,7227660,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Western,0.0,121.0,10370716
1842,Captain Underpants: The First Epic Movie,2017,209070100,38000000,73921000,52656874,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,89.0,126577874
1843,Only the Brave,2017,263270100,38000000,18340051,6215126,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,134.0,24555177
1844,The House with a Clock in its Walls,2017,305660100,40000000,68549695,57782055,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Horror,0.0,105.0,126331750
1845,The Hurricane Heist,2017,309770100,40000000,6115824,24847860,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,103.0,30963684
1846,Snatched,2017,233010100,42000000,45852178,11999999,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,90.0,57852177
1847,The Girl in the Spider’s Web,2017,284560100,43000000,14828555,20151149,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,117.0,34979704
